INFO 2020-07-22 21:01:58,762 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 21:02:01,272 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 21:02:02,870 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 21:03:04,210 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 21:03:04,364 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 21:03:04,365 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 21:03:04,381 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 21:03:04,382 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 21:05:48,054 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 21:05:48,211 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 21:05:48,213 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 21:05:48,226 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 21:05:48,226 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 21:06:33,376 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 21:06:33,530 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
INFO 2020-07-22 21:06:33,531 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 21:06:33,544 basehttp 157 "GET /media/banner/banner2.png HTTP/1.1" 200 772079
INFO 2020-07-22 21:06:33,544 basehttp 157 "GET /media/banner/banner4.png HTTP/1.1" 200 822746
INFO 2020-07-22 21:08:09,008 basehttp 157 "GET /home/banner/ HTTP/1.1" 200 396
INFO 2020-07-22 21:08:09,189 basehttp 157 "GET /media/banner/banner1.png HTTP/1.1" 200 115271
INFO 2020-07-22 21:08:09,190 basehttp 157 "GET /media/banner/banner3.png HTTP/1.1" 200 111031
